iter	Passed	Remaining
1029	26329	24795
1030	26354	24769
1031	26379	24743
1032	26404	24717
1033	26427	24689
1034	26449	24660
1035	26473	24633
1036	26496	24606
1037	26521	24579
1038	26545	24552
1039	26568	24524
1040	26591	24496
1041	26612	24467
1042	26638	24442
1043	26663	24415
1044	26686	24388
1045	26711	24362
1046	26736	24336
1047	26761	24310
1048	26787	24284
1049	26810	24257
1050	26831	24227
1051	26855	24200
1052	26878	24172
1053	26901	24145
1054	26929	24121
1055	26951	24092
1056	26972	24063
1057	26995	24035
1058	27020	24009
1059	27044	23982
1060	27067	23955
1061	27091	23928
1062	27114	23900
1063	27134	23870
1064	27156	23841
1065	27193	23826
1066	27219	23801
1067	27241	23772
1068	27263	23743
1069	27282	23712
1070	27305	23685
1071	27326	23656
1072	27347	23626
1073	27370	23598
1074	27391	23569
1075	27413	23540
1076	27436	23513
1077	27459	23485
1078	27483	23458
1079	27505	23430
1080	27527	23402
1081	27549	23373
1082	27570	23344
1083	27599	23322
1084	27623	23295
1085	27645	23266
1086	27667	23238
1087	27691	23211
1088	27714	23184
1089	27735	23155
1090	27760	23129
1091	27781	23100
1092	27803	23071
1093	27824	23043
1094	27845	23013
1095	27870	22987
1096	27894	22961
1097	27915	22932
1098	27941	22907
1099	27966	22882
1100	27990	22855
1101	28012	22827
1102	28037	22801
1103	28060	22773
1104	28082	22745
1105	28105	22717
1106	28124	22687
1107	28144	22658
1108	28167	22630
1109	28191	22603
1110	28213	22576
1111	28240	22551
1112	28267	22527
1113	28292	22501
1114	28318	22476
1115	28341	22450
1116	28363	22421
1117	28386	22394
1118	28410	22367
1119	28434	22341
1120	28457	22313
1121	28481	22287
1122	28506	22262
1123	28530	22235
1124	28552	22207
1125	28575	22180
1126	28599	22153
1127	28624	22128
1128	28646	22100
1129	28670	22073
1130	28694	22047
1131	28717	22019
1132	28739	21992
1133	28762	21964
1134	28786	21938
1135	28809	21911
1136	28833	21884
1137	28855	21857
1138	28879	21830
1139	28902	21803
1140	28924	21775
1141	28953	21752
1142	28977	21726
1143	29000	21699
1144	29025	21673
1145	29050	21648
1146	29074	21622
1147	29099	21596
1148	29121	21568
1149	29143	21540
1150	29166	21513
1151	29189	21486
1152	29216	21462
1153	29239	21435
1154	29260	21406
1155	29284	21380
1156	29308	21354
1157	29331	21327
1158	29355	21301
1159	29378	21274
1160	29402	21247
1161	29426	21221
1162	29451	21196
1163	29475	21169
1164	29499	21143
1165	29526	21119
1166	29550	21092
1167	29574	21066
1168	29599	21041
1169	29623	21014
1170	29648	20989
1171	29670	20961
1172	29695	20936
1173	29719	20909
1174	29745	20885
1175	29767	20857
1176	29793	20832
1177	29816	20805
1178	29841	20780
1179	29864	20753
1180	29917	20747
1181	29945	20723
1182	29979	20704
1183	30004	20678
1184	30036	20658
1185	30068	20637
1186	30097	20614
1187	30143	20602
1188	30191	20592
1189	30216	20567
1190	30245	20544
1191	30269	20518
1192	30295	20493
1193	30318	20466
1194	30343	20440
1195	30366	20413
1196	30389	20386
1197	30416	20362
1198	30443	20338
1199	30473	20315
1200	30498	20290
1201	30526	20266
1202	30552	20241
1203	30575	20214
1204	30600	20188
1205	30623	20161
1206	30649	20136
1207	30676	20112
1208	30701	20086
1209	30728	20062
1210	30751	20035
1211	30775	20009
1212	30802	19984
1213	30825	19957
1214	30851	19932
1215	30879	19909
1216	30903	19882
1217	30928	19857
1218	30957	19833
1219	30981	19808
1220	31007	19783
1221	31034	19758
1222	31060	19733
1223	31085	19707
1224	31110	19682
1225	31133	19655
1226	31157	19629
1227	31181	19602
1228	31204	19575
1229	31229	19550
1230	31252	19523
1231	31274	19496
1232	31300	19470
1233	31325	19445
1234	31350	19419
1235	31374	19393
1236	31399	19367
1237	31421	19340
1238	31451	19317
1239	31475	19291
1240	31501	19266
1241	31525	19240
1242	31549	19213
1243	31575	19188
1244	31602	19164
1245	31627	19139
1246	31652	19113
1247	31674	19085
1248	31698	19059
1249	31722	19033
1250	31744	19006
1251	31771	18981
1252	31794	18955
1253	31815	18926
1254	31839	18900
1255	31862	18874
1256	31886	18847
1257	31914	18823
1258	31940	18799
1259	31970	18776
1260	31993	18749
1261	32017	18723
1262	32053	18704
1263	32076	18677
1264	32099	18650
1265	32122	18623
1266	32147	18598
1267	32169	18571
1268	32193	18544
1269	32218	18519
1270	32240	18491
1271	32263	18465
1272	32289	18440
1273	32312	18413
1274	32361	18401
1275	32385	18375
1276	32407	18348
1277	32431	18322
1278	32454	18295
1279	32478	18269
1280	32507	18245
1281	32529	18218
1282	32553	18192
1283	32574	18164
1284	32597	18137
1285	32619	18110
1286	32643	18084
1287	32673	18061
1288	32703	18039
1289	32730	18014
1290	32757	17989
1291	32780	17963
1292	32806	17938
1293	32831	17912
1294	32854	17885
1295	32880	17860
1296	32900	17832
1297	32925	17807
1298	32953	17783
1299	32977	17757
1300	33000	17730
1301	33025	17704
1302	33047	17677
1303	33071	17651
1304	33094	17625
1305	33119	17599
1306	33141	17572
1307	33167	17547
1308	33191	17521
1309	33216	17495
1310	33239	17469
1311	33264	17443
1312	33285	17416
1313	33319	17395
1314	33343	17369
1315	33366	17342
1316	33389	17315
1317	33413	17289
1318	33437	17263
1319	33462	17238
1320	33488	17213
1321	33510	17186
1322	33534	17160
1323	33558	17134
1324	33584	17108
1325	33612	17085
1326	33638	17059
1327	33661	17033
1328	33686	17007
1329	33722	16988
1330	33745	16961
1331	33769	16935
1332	33792	16908
1333	33816	16883
1334	33838	16855
1335	33866	16831
1336	33887	16804
1337	33911	16778
1338	33934	16752
1339	33959	16726
1340	33982	16700
1341	34005	16673
1342	34029	16647
1343	34054	16621
1344	34079	16596
1345	34103	16570
1346	34127	16544
1347	34152	16519
1348	34175	16492
1349	34201	16467
1350	34225	16441
1351	34251	16416
1352	34274	16390
1353	34300	16365
1354	34321	16337
1355	34345	16311
1356	34367	16284
1357	34397	16261
1358	34420	16234
1359	34443	16208
1360	34466	16182
1361	34488	16155
1362	34512	16129
1363	34536	16103
1364	34562	16078
1365	34586	16052
1366	34610	16026
1367	34635	16001
1368	34658	15974
1369	34683	15949
1370	34706	15922
1371	34733	15898
1372	34755	15871
1373	34777	15844
1374	34801	15818
1375	34823	15792
1376	34848	15766
1377	34876	15742
1378	34908	15720
1379	34938	15696
1380	34965	15672
1381	34989	15646
1382	35014	15621
1383	35038	15595
1384	35064	15570
1385	35088	15544
1386	35112	15518
1387	35137	15493
1388	35162	15467
1389	35187	15441
1390	35215	15417
1391	35240	15392
1392	35263	15366
1393	35286	15339
1394	35309	15313
1395	35337	15289
1396	35360	15262
1397	35384	15236
1398	35408	15211
1399	35433	15185
1400	35455	15158
1401	35479	15133
1402	35503	15107
1403	35525	15080
1404	35547	15053
1405	35573	15028
1406	35595	15002
1407	35618	14975
1408	35650	14953
1409	35675	14928
1410	35699	14902
1411	35721	14875
1412	35747	14850
1413	35770	14824
1414	35795	14798
1415	35828	14776
1416	35851	14750
1417	35874	14724
1418	35899	14698
1419	35921	14672
1420	35945	14646
1421	35971	14621
1422	35995	14595
1423	36021	14570
1424	36045	14544
1425	36075	14521
1426	36101	14496
1427	36127	14471
1428	36150	14445
1429	36175	14419
1430	36198	14393
1431	36224	14368
1432	36245	14341
1433	36267	14314
1434	36293	14289
1435	36316	14263
1436	36340	14237
1437	36363	14211
1438	36387	14185
1439	36412	14160
1440	36437	14134
1441	36458	14108
1442	36482	14082
1443	36507	14056
1444	36529	14030
1445	36556	14005
1446	36580	13979
1447	36608	13955
1448	36633	13930
1449	36657	13904
1450	36680	13878
1451	36706	13853
1452	36734	13829
1453	36759	13803
1454	36781	13777
1455	36802	13750
1456	36823	13723
1457	36847	13697
1458	36871	13671
1459	36894	13645
1460	36920	13620
1461	36943	13594
1462	36968	13569
1463	36991	13543
1464	37015	13517
1465	37040	13492
1466	37062	13465
1467	37091	13441
1468	37119	13417
1469	37155	13396
1470	37177	13369
1471	37201	13344
1472	37228	13319
1473	37250	13292
1474	37272	13266
1475	37295	13240
1476	37318	13214
1477	37340	13187
1478	37365	13162
1479	37392	13137
1480	37416	13112
1481	37440	13086
1482	37463	13060
1483	37490	13035
1484	37514	13010
1485	37538	12984
1486	37560	12958
1487	37583	12932
1488	37605	12905
1489	37629	12879
1490	37654	12854
1491	37678	12828
1492	37702	12803
1493	37724	12776
1494	37747	12750
1495	37772	12725
1496	37795	12699
1497	37819	12673
1498	37842	12647
1499	37868	12622
1500	37890	12596
1501	37914	12570
1502	37939	12545
1503	37962	12519
1504	37986	12493
1505	38008	12467
1506	38031	12441
1507	38056	12416
1508	38080	12390
1509	38103	12364
1510	38126	12338
1511	38152	12313
1512	38177	12288
1513	38200	12262
1514	38221	12235
1515	38259	12214
1516	38292	12192
1517	38327	12169
1518	38353	12144
1519	38375	12118
1520	38411	12096
1521	38434	12070
1522	38459	12045
1523	38483	12019
1524	38507	11994
1525	38530	11968
1526	38554	11942
1527	38579	11917
1528	38604	11891
1529	38627	11865
1530	38651	11840
1531	38674	11814
1532	38696	11788
1533	38720	11762
1534	38741	11735
1535	38765	11710
1536	38789	11684
1537	38813	11659
1538	38839	11634
1539	38861	11607
1540	38882	11581
1541	38918	11559
1542	38944	11534
1543	38976	11511
1544	39009	11488
1545	39031	11462
1546	39054	11436
1547	39075	11409
1548	39100	11384
1549	39123	11358
1550	39146	11332
1551	39171	11307
1552	39194	11281
1553	39216	11255
1554	39242	11230
1555	39264	11203
1556	39286	11177
1557	39312	11152
1558	39337	11127
1559	39360	11101
1560	39386	11076
1561	39408	11050
1562	39433	11025
1563	39458	11000
1564	39483	10974
1565	39505	10948
1566	39527	10922
1567	39549	10896
1568	39571	10870
1569	39594	10844
1570	39613	10817
1571	39637	10791
1572	39670	10768
1573	39693	10743
1574	39717	10717
1575	39739	10691
1576	39759	10664
1577	39783	10639
1578	39802	10612
1579	39824	10586
1580	39848	10560
1581	39867	10533
1582	39889	10507
1583	39913	10482
1584	39933	10455
1585	39955	10429
1586	39976	10403
1587	39997	10377
1588	40018	10351
1589	40040	10324
1590	40061	10298
1591	40080	10271
1592	40099	10245
1593	40122	10219
1594	40145	10193
1595	40169	10168
1596	40193	10142
1597	40212	10116
1598	40234	10089
1599	40257	10064
1600	40277	10038
1601	40300	10012
1602	40324	9986
1603	40345	9960
1604	40366	9934
1605	40394	9909
1606	40415	9883
1607	40441	9858
1608	40459	9831
1609	40477	9804
1610	40512	9782
1611	40542	9758
1612	40560	9731
1613	40581	9705
1614	40599	9678
1615	40616	9651
1616	40638	9625
1617	40655	9598
1618	40672	9571
1619	40691	9544
1620	40710	9518
1621	40732	9492
1622	40750	9465
1623	40766	9438
1624	40788	9412
1625	40805	9385
1626	40823	9359
1627	40842	9332
1628	40860	9305
1629	40880	9279
1630	40897	9252
1631	40914	9225
1632	40936	9199
1633	40953	9173
1634	40970	9146
